value,date,realtime_end,realtime_start
8000,2009-08-01,2019-04-04,2019-04-04
7965,2009-09-01,2019-04-04,2019-04-04
7920,2009-10-01,2019-04-04,2019-04-04
8208,2009-11-01,2019-04-04,2019-04-04
8068,2009-12-01,2019-04-04,2019-04-04
8232,2010-01-01,2019-04-04,2019-04-04
8482,2010-02-01,2019-04-04,2019-04-04
8122,2010-03-01,2019-04-04,2019-04-04
8289,2010-04-01,2019-04-04,2019-04-04
8366,2010-05-01,2019-04-04,2019-04-04
8492,2010-06-01,2019-04-04,2019-04-04
8361,2010-07-01,2019-04-04,2019-04-04
8329,2010-08-01,2019-04-04,2019-04-04
8383,2010-09-01,2019-04-04,2019-04-04
8265,2010-10-01,2019-04-04,2019-04-04
8114,2010-11-01,2019-04-04,2019-04-04
8285,2010-12-01,2019-04-04,2019-04-04
8218,2011-01-01,2019-04-04,2019-04-04
8347,2011-02-01,2019-04-04,2019-04-04
8442,2011-03-01,2019-04-04,2019-04-04
8529,2011-04-01,2019-04-04,2019-04-04
8416,2011-05-01,2019-04-04,2019-04-04
8430,2011-06-01,2019-04-04,2019-04-04
8557,2011-07-01,2019-04-04,2019-04-04
8615,2011-08-01,2019-04-04,2019-04-04
8493,2011-09-01,2019-04-04,2019-04-04
8795,2011-10-01,2019-04-04,2019-04-04
8638,2011-11-01,2019-04-04,2019-04-04
8462,2011-12-01,2019-04-04,2019-04-04
8513,2012-01-01,2019-04-04,2019-04-04
8529,2012-02-01,2019-04-04,2019-04-04
8698,2012-03-01,2019-04-04,2019-04-04
8559,2012-04-01,2019-04-04,2019-04-04
8704,2012-05-01,2019-04-04,2019-04-04
8668,2012-06-01,2019-04-04,2019-04-04
8750,2012-07-01,2019-04-04,2019-04-04
8656,2012-08-01,2019-04-04,2019-04-04
8619,2012-09-01,2019-04-04,2019-04-04
8350,2012-10-01,2019-04-04,2019-04-04
8660,2012-11-01,2019-04-04,2019-04-04
8800,2012-12-01,2019-04-04,2019-04-04
8828,2013-01-01,2019-04-04,2019-04-04
8904,2013-02-01,2019-04-04,2019-04-04
8683,2013-03-01,2019-04-04,2019-04-04
8731,2013-04-01,2019-04-04,2019-04-04
8746,2013-05-01,2019-04-04,2019-04-04
8750,2013-06-01,2019-04-04,2019-04-04
8708,2013-07-01,2019-04-04,2019-04-04
8710,2013-08-01,2019-04-04,2019-04-04
8664,2013-09-01,2019-04-04,2019-04-04
8761,2013-10-01,2019-04-04,2019-04-04
8651,2013-11-01,2019-04-04,2019-04-04
8614,2013-12-01,2019-04-04,2019-04-04
8656,2014-01-01,2019-04-04,2019-04-04
8677,2014-02-01,2019-04-04,2019-04-04
8707,2014-03-01,2019-04-04,2019-04-04
8706,2014-04-01,2019-04-04,2019-04-04
8588,2014-05-01,2019-04-04,2019-04-04
8516,2014-06-01,2019-04-04,2019-04-04
8598,2014-07-01,2019-04-04,2019-04-04
8693,2014-08-01,2019-04-04,2019-04-04
8871,2014-09-01,2019-04-04,2019-04-04
8845,2014-10-01,2019-04-04,2019-04-04
9047,2014-11-01,2019-04-04,2019-04-04
9019,2014-12-01,2019-04-04,2019-04-04
8866,2015-01-01,2019-04-04,2019-04-04
8708,2015-02-01,2019-04-04,2019-04-04
8525,2015-03-01,2019-04-04,2019-04-04
8650,2015-04-01,2019-04-04,2019-04-04
8714,2015-05-01,2019-04-04,2019-04-04
8820,2015-06-01,2019-04-04,2019-04-04
8668,2015-07-01,2019-04-04,2019-04-04
8670,2015-08-01,2019-04-04,2019-04-04
8694,2015-09-01,2019-04-04,2019-04-04
8622,2015-10-01,2019-04-04,2019-04-04
8480,2015-11-01,2019-04-04,2019-04-04
8453,2015-12-01,2019-04-04,2019-04-04
8318,2016-01-01,2019-04-04,2019-04-04
8378,2016-02-01,2019-04-04,2019-04-04
8253,2016-03-01,2019-04-04,2019-04-04
8318,2016-04-01,2019-04-04,2019-04-04
8338,2016-05-01,2019-04-04,2019-04-04
8309,2016-06-01,2019-04-04,2019-04-04
8390,2016-07-01,2019-04-04,2019-04-04
8505,2016-08-01,2019-04-04,2019-04-04
8157,2016-09-01,2019-04-04,2019-04-04
8042,2016-10-01,2019-04-04,2019-04-04
7884,2016-11-01,2019-04-04,2019-04-04
7970,2016-12-01,2019-04-04,2019-04-04
8069,2017-01-01,2019-04-04,2019-04-04
7876,2017-02-01,2019-04-04,2019-04-04
8145,2017-03-01,2019-04-04,2019-04-04
8253,2017-04-01,2019-04-04,2019-04-04
8106,2017-05-01,2019-04-04,2019-04-04
8062,2017-06-01,2019-04-04,2019-04-04
7974,2017-07-01,2019-04-04,2019-04-04
8027,2017-08-01,2019-04-04,2019-04-04
8078,2017-09-01,2019-04-04,2019-04-04
8151,2017-10-01,2019-04-04,2019-04-04
8248,2017-11-01,2019-04-04,2019-04-04
8188,2017-12-01,2019-04-04,2019-04-04
8242,2018-01-01,2019-04-04,2019-04-04
8254,2018-02-01,2019-04-04,2019-04-04
8194,2018-03-01,2019-04-04,2019-04-04
8244,2018-04-01,2019-04-04,2019-04-04
8256,2018-05-01,2019-04-04,2019-04-04
8329,2018-06-01,2019-04-04,2019-04-04
8335,2018-07-01,2019-04-04,2019-04-04
8337,2018-08-01,2019-04-04,2019-04-04
8235,2018-09-01,2019-04-04,2019-04-04
8234,2018-10-01,2019-04-04,2019-04-04
8153,2018-11-01,2019-04-04,2019-04-04
8054,2018-12-01,2019-04-04,2019-04-04
8099,2019-01-01,2019-04-04,2019-04-04
7994,2019-02-01,2019-04-04,2019-04-04
