value,date,realtime_end,realtime_start
38304,2015-05-01,2019-04-04,2019-04-04
39194,2015-06-01,2019-04-04,2019-04-04
39263,2015-07-01,2019-04-04,2019-04-04
38115,2015-08-01,2019-04-04,2019-04-04
35983,2015-09-01,2019-04-04,2019-04-04
35562,2015-10-01,2019-04-04,2019-04-04
35056,2015-11-01,2019-04-04,2019-04-04
34681,2015-12-01,2019-04-04,2019-04-04
33271,2016-01-01,2019-04-04,2019-04-04
31576,2016-02-01,2019-04-04,2019-04-04
32912,2016-03-01,2019-04-04,2019-04-04
33876,2016-04-01,2019-04-04,2019-04-04
34763,2016-05-01,2019-04-04,2019-04-04
35977,2016-06-01,2019-04-04,2019-04-04
35229,2016-07-01,2019-04-04,2019-04-04
34588,2016-08-01,2019-04-04,2019-04-04
35455,2016-09-01,2019-04-04,2019-04-04
36256,2016-10-01,2019-04-04,2019-04-04
36074,2016-11-01,2019-04-04,2019-04-04
37351,2016-12-01,2019-04-04,2019-04-04
37949,2017-01-01,2019-04-04,2019-04-04
37919,2017-02-01,2019-04-04,2019-04-04
37789,2017-03-01,2019-04-04,2019-04-04
37686,2017-04-01,2019-04-04,2019-04-04
36425,2017-05-01,2019-04-04,2019-04-04
35982,2017-06-01,2019-04-04,2019-04-04
35751,2017-07-01,2019-04-04,2019-04-04
36936,2017-08-01,2019-04-04,2019-04-04
39433,2017-09-01,2019-04-04,2019-04-04
38991,2017-10-01,2019-04-04,2019-04-04
40486,2017-11-01,2019-04-04,2019-04-04
41377,2017-12-01,2019-04-04,2019-04-04
42166,2018-01-01,2019-04-04,2019-04-04
42227,2018-02-01,2019-04-04,2019-04-04
41707,2018-03-01,2019-04-04,2019-04-04
41877,2018-04-01,2019-04-04,2019-04-04
43074,2018-05-01,2019-04-04,2019-04-04
43330,2018-06-01,2019-04-04,2019-04-04
43502,2018-07-01,2019-04-04,2019-04-04
44206,2018-08-01,2019-04-04,2019-04-04
43618,2018-09-01,2019-04-04,2019-04-04
45442,2018-10-01,2019-04-04,2019-04-04
43515,2018-11-01,2019-04-04,2019-04-04
40954,2018-12-01,2019-04-04,2019-04-04
40471,2019-01-01,2019-04-04,2019-04-04
40868,2019-02-01,2019-04-04,2019-04-04
